level_id,source_file,offset,object,category,level_region,sub_region,context_group,movement_type,instance_id,is_tracked,is_verified,zone,x,y,z,notes
ah1cagew,enemies.rsc,0x002A,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,1604.1309,0.3641,504.4484,
ah1cagew,enemies.rsc,0x0072,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,4812.8965,1044.1833,179.199,
ah1cagew,enemies.rsc,0x00BA,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,2060.0718,424.0169,-540.1567,
ah1cagew,enemies.rsc,0x0106,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,2173.6753,424.0169,-391.534,
ah1cagew,enemies.rsc,0x0152,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,2543.5159,424.0169,-605.0232,
ah1cagew,enemies.rsc,0x019E,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,2481.2842,424.0169,-830.6898,
ah1cagew,enemies.rsc,0x01EA,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,2314.5449,424.0169,-551.2835,
ah1cagew,enemies.rsc,0x0236,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,2584.7417,31.901,266.0682,
ah1cagew,enemies.rsc,0x027E,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,3921.24,512.3801,1845.6827,
ah1cagew,enemies.rsc,0x02C6,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,0,1923.7334,1280.3928,1993.2358,
ah1cagew,enemies.rsc,0x030E,RSC_A_GUARD,enemy,Asylum: Cageways,,deadside,ground,1,FALSE,FALSE,1,8062.7964,238.0984,1531.766,
ah1cagew,enemies.rsc,0x0356,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,1,6043.9912,0.3654,1136.0093,
ah1cagew,enemies.rsc,0x039E,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,1,6611.1436,0.3653,1388.5941,
ah1cagew,enemies.rsc,0x03E6,RSC_BAD_DEADWORM,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,1,7022.7114,0.3652,1735.7893,
ah1cagew,enemies.rsc,0x042E,RSC_D_DEADSIDER_F,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,1,6303.271,90.4064,749.4495,
ah1cagew,enemies.rsc,0x0476,RSC_D_DEADSIDER_F,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,1,5594.7544,90.4055,671.2487,
ah1cagew,enemies.rsc,0x04BE,RSC_D_DEADSIDER_F,enemy,Asylum: Cageways,N,deadside,ground,0,FALSE,FALSE,1,6598.7373,-421.5933,-688.6462,
ah1cagew,enemies.rsc,0x0506,RSC_D_DEADSIDER_F,enemy,Asylum: Cageways,,deadside,ground,0,FALSE,FALSE,1,7261.8135,-421.5934,-766.0701,
